L W R Segment
1.65104014063873 0.69 4785.6235960543 1
1.44887196015236 0.69 4199.62887000684 1
1.28039847641371 0.69 3711.29993163395 1
1.16246703779666 0.69 3369.46967477293 1
1.07823029592734 0.69 3125.30520558648 1
2.03120421916203 1.41 2881.14073640004 1
1.89349545854087 1.41 2685.80916105088 1
1.79021388807501 1.41 2539.31047953902 1
1.68693231760914 1.41 2392.81179802715 1
1.58365074714328 1.41 2246.31311651528 1
1.5147963668327 1.41 2148.64732884071 1
1.44594198652212 1.41 2050.98154116613 1
1.37708760621154 1.41 1953.31575349155 1
1.34266041605625 1.41 1904.48285965426 1
1.27380603574568 1.41 1806.81707197969 1
1.23937884559038 1.41 1757.98417814239 1
1.17052446527982 1.41 1660.31839046782 1
1.17052446527982 1.41 1660.31839046782 1
1.10167008496924 1.41 1562.65260279325 1
1.10167008496922 1.41 1562.65260279322 1
1.03281570465867 1.41 1464.98681511868 1
1.03281570465866 1.41 1464.98681511866 1
2.01801933782597 2.85 1416.15392128138 1
2.01801933782595 2.85 1416.15392128137 1
1.87884559038969 2.85 1318.4881336068 1
1.87884559038968 2.85 1318.48813360679 1
1.80925871667156 2.85 1269.65523976951 1
1.80925871667156 2.85 1269.65523976951 1
1.73967184295341 2.85 1220.82234593222 1
1.73967184295341 2.85 1220.82234593222 1
1.67008496923529 2.85 1171.98945209494 1
1.67008496923528 2.85 1171.98945209493 1
1.60049809551712 2.85 1123.15655825763 1
1.60049809551714 2.85 1123.15655825764 1
1.60049809551714 2.85 1123.15655825764 1
1.53091122179901 2.85 1074.32366442036 1
1.46132434808085 2.85 1025.49077058306 1
1.53091122179903 2.85 1074.32366442037 1
1.46132434808085 2.85 1025.49077058306 1
1.39173747436272 2.85 976.657876745769 1
1.46132434808087 2.85 1025.49077058307 1
1.39173747436272 2.85 976.657876745769 1
1.32215060064461 2.85 927.824982908496 1
1.39173747436274 2.85 976.657876745783 1
1.32215060064459 2.85 927.824982908482 1
1.32215060064461 2.85 927.824982908496 1
1.32215060064459 2.85 927.824982908482 1
1.25256372692645 2.85 878.992089071195 1
1.32215060064461 2.85 927.824982908496 1
1.25256372692645 2.85 878.992089071195 1
1.1829768532083 2.85 830.159195233893 1
1.25256372692647 2.85 878.992089071209 1
1.18297685320832 2.85 830.159195233908 1
1.18297685320832 2.85 830.159195233908 1
1.18297685320832 2.85 830.159195233908 1
1.18297685320834 2.85 830.159195233922 1
1.18297685320832 2.85 830.159195233908 1
1.11338997949018 2.85 781.326301396621 1
1.11338997949016 2.85 781.326301396606 1
1.11338997949021 2.85 781.326301396635 1
1.11338997949016 2.85 781.326301396606 1
1.11338997949021 2.85 781.326301396635 1
1.11338997949016 2.85 781.326301396606 1
1.04380310577205 2.85 732.493407559334 1
1.95697822052935 0.35 11182.7326887391 2
1.73478855356968 0.35 9913.07744896962 2
1.56387342513917 0.35 8936.41957222385 2
1.44423283523782 0.35 8252.75905850181 2
1.34168375817951 0.35 7666.76433245433 2
1.26477195038578 0.35 7227.26828791874 2
1.19640589901358 0.35 6836.60513722044 2
1.1365856040629 0.35 6494.77488035941 2
1.08531106553374 0.35 6201.77751733566 2
1.05112803984764 0.35 6006.44594198653 2
1.01694501416154 0.35 5811.11436663737 2
1.93744506299444 0.69 5615.78279128823 2
1.88690301787283 0.69 5469.28410977633 2
1.8532083211251 0.69 5371.61832210174 2
1.80266627600352 0.69 5225.11964058992 2
1.75212423088193 0.69 5078.62095907805 2
1.73527688250805 0.69 5029.78806524073 2
1.7184295341342 0.69 4980.95517140348 2
1.68473483738646 0.69 4883.28938372887 2
1.65104014063873 0.69 4785.6235960543 2
1.65104014063874 0.69 4785.62359605431 2
1.63419279226486 0.69 4736.790702217 2
1.617345443891 0.69 4687.95780837972 2
1.60049809551714 0.69 4639.12491454242 2
1.60049809551716 0.69 4639.12491454248 2
1.60049809551712 0.69 4639.12491454236 2
1.58365074714328 0.69 4590.29202070515 2
1.60049809551715 0.69 4639.12491454245 2
1.58365074714328 0.69 4590.29202070515 2
1.58365074714328 0.69 4590.29202070515 2
1.60049809551714 0.69 4639.12491454242 2
1.60049809551715 0.69 4639.12491454245 2
1.617345443891 0.69 4687.95780837972 2
1.61734544389101 0.69 4687.95780837975 2
1.63419279226485 0.69 4736.79070221697 2
1.65104014063876 0.69 4785.62359605439 2
1.66788748901258 0.69 4834.45648989154 2
1.70158218576033 0.69 4932.12227756617 2
1.70158218576033 0.69 4932.12227756617 2
1.75212423088191 0.69 5078.62095907799 2
1.76897157925581 0.69 5127.45385291538 2
1.8026662760035 0.69 5225.11964058987 2
1.85320832112509 0.69 5371.61832210171 2
1.88690301787286 0.69 5469.2841097764 2
1.93744506299445 0.69 5615.78279128825 2
1.00839925774 0.35 5762.28147280001 2
1.04258228342612 0.35 5957.61304814924 2
1.08531106553374 0.35 6201.77751733566 2
1.09507764430119 0.69 3174.13809942374 3
1.12877234104893 0.69 3271.80388709835 3
1.1456196894228 0.69 3320.63678093565 3
1.16246703779667 0.69 3369.46967477294 3
1.21300908291825 0.69 3515.96835628477 3
1.22985643129211 0.69 3564.80125012207 3
1.26355112803985 0.69 3662.46703779667 3
