L W R Segment
1.25622619396425 0.35 7178.43539408145 1
1.10240257837679 0.35 6299.44330501026 1
1.92059771462057 0.69 5566.94989745092 1
1.74370055669499 0.69 5054.20451215939 1
1.617345443891 0.69 4687.95780837972 1
1.49099033108702 0.69 4321.71110460006 1
1.38990624084383 0.69 4028.71374157632 1
1.31409317316144 0.69 3808.96571930853 1
1.23828010547905 0.69 3589.21769704072 1
1.16246703779666 0.69 3369.46967477293 1
1.11192499267507 0.69 3222.97099326106 1
1.06138294755347 0.69 3076.47231174919 1
1.01084090243188 0.69 2929.97363023733 1
2.01399062408438 1.41 2856.72428948139 1
1.91070905361852 1.41 2710.22560796953 1
1.85906826838558 1.41 2636.97626721359 1
1.75578669791972 1.41 2490.47758570174 1
1.75578669791972 1.41 2490.47758570174 1
1.65250512745385 1.41 2343.97890418986 1
1.65250512745383 1.41 2343.97890418983 1
1.54922355698801 1.41 2197.48022267803 1
1.54922355698798 1.41 2197.48022267799 1
1.49758277175505 1.41 2124.23088192206 1
1.49758277175504 1.41 2124.23088192205 1
1.39430120128919 1.41 1977.7322004102 1
1.39430120128918 1.41 1977.73220041019 1
1.34266041605627 1.41 1904.48285965428 1
1.34266041605626 1.41 1904.48285965426 1
1.29101963082332 1.41 1831.23351889833 1
1.29101963082332 1.41 1831.23351889833 1
1.23937884559039 1.41 1757.9841781424 1
1.23937884559038 1.41 1757.98417814239 1
1.18773806035746 1.41 1684.73483738647 1
1.18773806035746 1.41 1684.73483738647 1
1.18773806035746 1.41 1684.73483738647 1
1.13609727512452 1.41 1611.48549663053 1
1.08445648989159 1.41 1538.23615587459 1
1.13609727512452 1.41 1611.48549663053 1
1.08445648989159 1.41 1538.23615587459 1
1.03281570465866 1.41 1464.98681511867 1
1.0844564898916 1.41 1538.23615587461 1
1.03281570465865 1.41 1464.98681511865 1
1.98322590096691 2.85 1391.73747436274 1
1.03281570465866 1.41 1464.98681511867 1
1.98322590096687 2.85 1391.73747436272 1
1.98322590096689 2.85 1391.73747436273 1
1.98322590096689 2.85 1391.73747436273 1
1.8788455903897 2.85 1318.48813360681 1
1.98322590096689 2.85 1391.73747436273 1
1.87884559038968 2.85 1318.48813360679 1
1.77446527981247 2.85 1245.23879285085 1
1.8788455903897 2.85 1318.48813360681 1
1.77446527981249 2.85 1245.23879285087 1
1.77446527981245 2.85 1245.23879285084 1
1.77446527981249 2.85 1245.23879285087 1
1.77446527981249 2.85 1245.23879285087 1
1.77446527981249 2.85 1245.23879285087 1
1.6700849692353 2.85 1171.98945209495 1
1.67008496923526 2.85 1171.98945209492 1
1.6700849692353 2.85 1171.98945209495 1
1.67008496923526 2.85 1171.98945209492 1
1.6700849692353 2.85 1171.98945209495 1
1.67008496923526 2.85 1171.98945209492 1
1.56570465865807 2.85 1098.74011133899 1
2.93546733079402 0.35 16774.0990331087 2
2.60218283035453 0.35 14869.6161734544 2
2.34581013770876 0.35 13404.6293583358 2
2.16634925285673 0.35 12379.1385877527 2
2.01252563726926 0.35 11500.1464986815 2
1.89715792557867 0.35 10840.9024318781 2
1.79460884852036 0.35 10254.9077058307 2
1.70487840609435 0.35 9742.16232053912 2
1.62796659830061 0.35 9302.6662760035 2
1.57669205977146 0.35 9009.66891297979 2
1.52541752124231 0.35 8716.67154995605 2
1.47414298271316 0.35 8423.67418693236 2
1.43568707881628 0.35 8203.92616466447 2
1.41004980955171 0.35 8057.42748315263 2
1.37159390565486 0.35 7837.67946088489 2
1.33313800175799 0.35 7617.93143861709 2
1.32031936712569 0.35 7544.68209786108 2
1.30750073249341 0.35 7471.43275710521 2
1.28186346322883 0.35 7324.93407559331 2
1.25622619396425 0.35 7178.43539408143 2
1.25622619396426 0.35 7178.43539408149 2
1.24340755933196 0.35 7105.18605332548 2
1.23058892469968 0.35 7031.93671256959 2
1.21777029006739 0.35 6958.68737181366 2
1.2177702900674 0.35 6958.68737181369 2
1.21777029006738 0.35 6958.68737181358 2
1.2049516554351 0.35 6885.43803105771 2
1.21777029006739 0.35 6958.68737181366 2
1.2049516554351 0.35 6885.43803105774 2
1.2049516554351 0.35 6885.43803105774 2
1.21777029006739 0.35 6958.68737181363 2
1.2177702900674 0.35 6958.68737181369 2
1.23058892469967 0.35 7031.93671256956 2
1.23058892469968 0.35 7031.93671256962 2
1.24340755933196 0.35 7105.18605332548 2
1.25622619396427 0.35 7178.43539408152 2
1.26904482859654 0.35 7251.68473483738 2
1.29468209786112 0.35 7398.18341634923 2
1.29468209786112 0.35 7398.18341634923 2
1.33313800175798 0.35 7617.931438617 2
1.34595663639029 0.35 7691.1807793731 2
1.37159390565483 0.35 7837.67946088477 2
1.4100498095517 0.35 8057.4274831526 2
1.4356870788163 0.35 8203.92616466456 2
1.47414298271317 0.35 8423.67418693239 2
1.51259888661001 0.35 8643.42220920004 2
1.56387342513916 0.35 8936.41957222379 2
1.62796659830062 0.35 9302.66627600353 2
1.64261646645179 0.69 4761.20714913562 3
1.69315851157339 0.69 4907.70583064752 3
1.7184295341342 0.69 4980.95517140347 3
1.743700556695 0.69 5054.20451215942 3
1.81951362437737 0.69 5273.95253442716 3
1.84478464693817 0.69 5347.20187518311 3
1.89532669205978 0.69 5493.70055669501 3
1.97113975974215 0.69 5713.44857896274 3
1.02549077058308 0.35 5859.94726047476 3
1.06394667447992 0.35 6079.69528274237 3
1.08958394374452 0.35 6226.1939642544 3
1.15367711690593 0.35 6592.44066803391 3
1.19213302080281 0.35 6812.18869030177 3
1.25622619396427 0.35 7178.43539408152 3
1.32031936712568 0.35 7544.68209786103 3
1.39723117491943 0.35 7984.17814239675 3
1.46132434808088 2.85 1025.49077058308 4
1.46132434808088 2.85 1025.49077058308 4
1.56570465865811 2.85 1098.74011133903 4
1.46132434808088 2.85 1025.49077058308 4
1.56570465865811 2.85 1098.74011133903 4
1.46132434808071 2.85 1025.49077058295 4
1.56570465865811 2.85 1098.74011133903 4
1.56570465865811 2.85 1098.74011133903 4
1.56570465865811 2.85 1098.74011133903 4
1.67008496923517 2.85 1171.98945209486 4
1.56570465865811 2.85 1098.74011133903 4
1.67008496923534 2.85 1171.98945209498 4
1.56570465865811 2.85 1098.74011133903 4
1.67008496923517 2.85 1171.98945209486 4
1.67008496923534 2.85 1171.98945209498 4
1.67008496923517 2.85 1171.98945209486 4
1.77446527981258 2.85 1245.23879285093 4
1.67008496923534 2.85 1171.98945209497 4
1.77446527981241 2.85 1245.23879285081 4
1.7744652798124 2.85 1245.23879285081 4
1.77446527981258 2.85 1245.23879285093 4
1.7744652798124 2.85 1245.23879285081 4
1.8788455903898 2.85 1318.48813360688 4
1.87884559038963 2.85 1318.48813360676 4
1.87884559038963 2.85 1318.48813360676 4
1.87884559038981 2.85 1318.48813360688 4
1.87884559038963 2.85 1318.48813360676 4
1.98322590096687 2.85 1391.73747436272 4
1.98322590096686 2.85 1391.73747436271 4
1.98322590096703 2.85 1391.73747436283 4
1.03281570465866 1.41 1464.98681511866 4
1.98322590096687 2.85 1391.73747436272 4
1.03281570465865 1.41 1464.98681511865 4
1.0844564898916 1.41 1538.23615587461 4
1.03281570465866 1.41 1464.98681511867 4
1.13609727512446 1.41 1611.48549663044 4
1.0844564898916 1.41 1538.23615587461 4
1.13609727512455 1.41 1611.48549663057 4
1.13609727512454 1.41 1611.48549663056 4
1.18773806035741 1.41 1684.7348373864 4
1.18773806035749 1.41 1684.73483738651 4
1.18773806035741 1.41 1684.7348373864 4
1.23937884559044 1.41 1757.98417814246 4
1.29101963082331 1.41 1831.23351889831 4
1.29101963082329 1.41 1831.23351889829 4
1.34266041605633 1.41 1904.48285965437 4
1.34266041605624 1.41 1904.48285965424 4
1.3943012012892 1.41 1977.73220041021 4
1.44594198652214 1.41 2050.98154116615 4
1.44594198652204 1.41 2050.98154116601 4
1.54922355698803 1.41 2197.48022267806 4
1.54922355698794 1.41 2197.48022267793 4
1.65250512745391 1.41 2343.97890418995 4
1.65250512745383 1.41 2343.97890418983 4
1.75578669791974 1.41 2490.47758570175 4
1.80742748315267 1.41 2563.72692645769 4
1.91070905361848 1.41 2710.22560796948 4
1.9623498388515 1.41 2783.47494872553 4
1.03611192499263 0.69 3003.22297099314 4
1.08665397011429 0.69 3149.72165250518 4
1.13719601523585 0.69 3296.22033401697 4
1.26355112803988 0.69 3662.46703779674 4
1.33936419572223 0.69 3882.21506006444 4
