L W R Segment
1.65265178795929 0.69 4790.29503756315 1
1.44889312653199 0.69 4199.69022183185 1
1.27911020400924 0.69 3707.56580872244 1
1.16024431013878 0.69 3363.02698590949 1
1.07535338049104 0.69 3116.96632026387 1
1.92407659150588 1.41 2729.18665461826 1
1.8949828016272 1.41 2687.91886755631 1
1.79085148205912 1.41 2540.21486816896 1
1.68681149203646 1.41 2392.64041423611 1
1.58277163019565 1.41 2245.06614212148 1
1.51335115639267 1.41 2146.59738495414 1
1.44393081077152 1.41 2048.12880960499 1
1.37451059333218 1.41 1949.66041607401 1
1.33989146165797 1.41 1900.55526476308 1
1.27047137240044 1.41 1802.08705305027 1
1.23576129572623 1.41 1752.85290173934 1
1.16634133465053 1.41 1654.38487184473 1
1.16634127055963 1.41 1654.38478093565 1
1.09701244675665 1.41 1556.0460237683 1
1.09701244675664 1.41 1556.04602376828 1
1.09245601068096 1.41 1549.58299387371 1
1.09245594659004 1.41 1549.5829029646 1
1.88744790065192 2.85 1324.52484256275 1
1.88744790065192 2.85 1324.52484256275 1
1.8783190489612 2.85 1318.11863084997 1
1.87831891941572 2.85 1318.11853994086 1
1.80825482197947 2.85 1268.9507522663 1
1.80825482197945 2.85 1268.95075226628 1
1.73809965408864 2.85 1219.7190555008 1
1.73809978363409 2.85 1219.71914640989 1
1.66794474528876 2.85 1170.48754055351 1
1.66794461574328 2.85 1170.48744964441 1
1.59778970694335 2.85 1121.25593469709 1
1.5977897069434 2.85 1121.25593469712 1
1.59778983648881 2.85 1121.25602560618 1
1.52763479814348 2.85 1072.02441974981 1
1.45747988934354 2.85 1022.79290480248 1
1.52763479814346 2.85 1072.0244197498 1
1.45747988934356 2.85 1022.7929048025 1
1.38741618054363 2.85 973.62538985518 1
1.45747988934356 2.85 1022.7929048025 1
1.38741618054365 2.85 973.625389855195 1
1.3173526012892 2.85 924.457965816982 1
1.38741618054363 2.85 973.62538985518 1
1.31735247174373 2.85 924.457874907879 1
1.31735247174375 2.85 924.457874907894 1
1.31735247174371 2.85 924.457874907865 1
1.24719782203475 2.85 875.226541778771 1
1.31735247174373 2.85 924.457874907879 1
1.24719782203475 2.85 875.226541778771 1
1.17704304278026 2.85 825.995117740531 1
1.24719782203473 2.85 875.226541778757 1
1.17704317232577 2.85 825.995208649663 1
1.17704317232569 2.85 825.995208649605 1
1.17704317232575 2.85 825.995208649649 1
1.17704317232575 2.85 825.995208649649 1
1.17704317232575 2.85 825.995208649649 1
1.10688852261671 2.85 776.763875520497 1
1.10688891125308 2.85 776.764148247777 1
1.10688800443492 2.85 776.763511884157 1
1.10688929988942 2.85 776.764420975029 1
1.10688800443497 2.85 776.763511884186 1
1.10688929988946 2.85 776.764420975058 1
1.10701966608954 2.85 776.855906027748 1
1.96395625924052 0.35 11222.6071956601 2
1.74008710713937 0.35 9943.35489793925 2
1.56778300936926 0.35 8958.76005353862 2
1.44713417047563 0.35 8269.33811700362 2
1.34382508454084 0.35 7679.00048309049 2
1.26638912804428 0.35 7236.50930311019 2
1.19739538893625 0.35 6842.25936535001 2
1.1371168672167 0.35 6497.81066980973 2
1.08546272197657 0.35 6202.64412558041 2
1.05096585242256 0.35 6005.51915670032 2
1.01646914195944 0.35 5808.39509691109 2
1.88347704871615 0.69 5459.35376439465 2
1.89038674029112 0.69 5479.38185591629 2
1.85641122406839 0.69 5380.90209874895 2
1.80549452473433 0.69 5233.31746299806 2
1.75448592994566 0.69 5085.46646361062 2
1.73754380592519 0.69 5036.35885775418 2
1.72051104099566 0.69 4986.98852462511 2
1.68662679295474 0.69 4888.77331291229 2
1.65265159036838 0.69 4790.2944648359 2
1.65265190400475 0.69 4790.29537392681 2
1.63570977998427 0.69 4741.18776807035 2
1.61867670141838 0.69 4691.81652585039 2
1.60173489103429 0.69 4642.7098290849 2
1.60173489103428 0.69 4642.70982908487 2
1.60173457739788 0.69 4642.70891999386 2
1.58479276701385 0.69 4593.60222322855 2
1.60173489103429 0.69 4642.7098290849 2
1.58479276701381 0.69 4593.60222322843 2
1.58479276701383 0.69 4593.60222322849 2
1.6017348910343 0.69 4642.70982908492 2
1.60173489103428 0.69 4642.70982908487 2
1.61867670141834 0.69 4691.81652585027 2
1.6186767014184 0.69 4691.81652585045 2
1.63570977998428 0.69 4741.18776807038 2
1.65265190400473 0.69 4790.29537392675 2
1.6696846689343 0.69 4839.66570705594 2
1.70356891697518 0.69 4937.88091876864 2
1.70356891697522 0.69 4937.88091876876 2
1.75448592994565 0.69 5085.46646361059 2
1.77151900851157 0.69 5134.83770583064 2
1.80549421109794 0.69 5233.31655390706 2
1.85641153770477 0.69 5380.90300783992 2
1.89038674029114 0.69 5479.38185591635 2
1.88347704871615 0.69 5459.35376439465 2
1.00793592457092 0.35 5759.633854691 2
1.04243279412495 0.35 5956.75882357114 2
1.08546272197658 0.35 6202.64412558044 2
1.09238630223876 0.69 3166.33710793842 3
1.12626960937062 0.69 3264.54959237861 3
1.14321141975464 0.69 3313.6562891439 3
1.16024449832064 0.69 3363.02753136418 3
1.21116057038197 0.69 3510.61034893326 3
1.22819364894787 0.69 3559.98159115325 3
1.26216853789785 0.69 3658.4595301387 3
1.31308492359561 0.69 3806.04325679888 3
1.34705981254565 0.69 3904.5211957845 3
1.39797619824329 0.69 4052.10492244433 3
1.43186013264795 0.69 4150.31922506652 3
1.51684298911381 0.69 4396.64634525741 3
1.56775968844787 0.69 4544.23098100832 3
1.65265190400477 0.69 4790.29537392687 3
1.73754380592518 0.69 5036.35885775415 3
1.83946941368432 0.69 5331.79540198355 3
1.95607908908184 5.73 682.750118353171 4
1.95607908908184 5.73 682.750118353171 4
1.10701837063503 2.85 776.854996936861 4
1.95607908908184 5.73 682.750118353171 4
1.10701966608958 2.85 776.855906027777 4
1.9560790890815 5.73 682.750118353055 4
1.10701966608975 2.85 776.855906027893 4
1.10701837063494 2.85 776.854996936803 4
1.1070196660895 2.85 776.855906027718 4
1.10688929988937 2.85 776.764420975 4
1.10701966608958 2.85 776.855906027777 4
1.10688800443507 2.85 776.763511884259 4
1.10701966608958 2.85 776.855906027777 4
1.10688929988921 2.85 776.764420974883 4
1.10688800443499 2.85 776.763511884201 4
1.10688929988954 2.85 776.764420975116 4
1.17704252459845 2.85 825.994754104177 4
1.10688929988962 2.85 776.764420975174 4
1.1770425245982 2.85 825.994754104002 4
1.17704382005301 2.85 825.995663195092 4
1.17704252459862 2.85 825.994754104293 4
1.17704382005301 2.85 825.995663195092 4
1.24719704476208 2.85 875.225996324269 4
1.24719834021647 2.85 875.226905415067 4
1.247197044762 2.85 875.22599632421 4
1.24719834021672 2.85 875.226905415242 4
1.24719834021639 2.85 875.226905415009 4
1.31735156492555 2.85 924.457238544244 4
1.31735286038002 2.85 924.458147635101 4
1.31735286038035 2.85 924.458147635334 4
1.38741540327088 2.85 973.62484440062 4
1.3173528603801 2.85 924.45814763516 4
1.38741669872527 2.85 973.625753491418 4
1.4574792416163 2.85 1022.79245025705 4
1.38741669872552 2.85 973.625753491593 4
1.52763376177968 2.85 1072.02369247697 4
1.45748053707086 2.85 1022.79335934797 4
1.52763505723449 2.85 1072.02460156806 4
1.52763505723449 2.85 1072.02460156806 4
1.5977895773977 2.85 1121.25584378786 4
1.59778957739787 2.85 1121.25584378798 4
1.59778957739787 2.85 1121.25584378798 4
1.66794409756158 2.85 1170.48708600813 4
1.73809991317952 2.85 1219.71923731896 4
1.73809991317952 2.85 1219.71923731896 4
1.80825443334323 2.85 1268.95047953911 4
1.80825572879762 2.85 1268.95138862991 4
1.87831827168849 2.85 1318.11808539543 4
1.94847408730659 2.85 1367.35023670638 4
1.94847408730634 2.85 1367.3502367062 4
1.09245645931739 1.41 1549.58363023744 4
1.09245581840813 1.41 1549.58272114629 4
1.09701251084764 1.41 1556.04611467751 4
1.09701251084752 1.41 1556.04611467733 4
1.16634075783246 1.41 1654.38405366306 4
1.20105134723376 1.41 1703.61893224646 4
1.27047188512771 1.41 1802.087780323 4
1.30509018362016 1.41 1851.19174981583 4
1.40922067000632 1.41 1998.89456738485 4
1.47864120790027 1.41 2097.36341546138 4
1.54797009579419 1.41 2195.70226353785 4
1.72152176098344 1.41 2441.87483827438 4
1.82556187918783 1.41 2589.44947402528 4
