L W R Segment
1.67242941791383 0.69 4847.62150119951 1
1.45206702303199 0.69 4208.88992183185 1
1.26850820346379 0.69 3676.8353723588 1
1.13997185922968 0.69 3304.26625863677 1
1.0482384191274 0.69 3038.37222935478 1
1.01011117311603 0.69 2927.85847280008 1
1.91407644480901 1.41 2715.00204937449 1
1.80155165160456 1.41 2555.3924136235 1
1.68902698658192 1.41 2395.78295969066 1
1.57641144065019 1.41 2236.04459666694 1
1.5014255686654 1.41 2129.68165768141 1
1.42643976077151 1.41 2023.31880960499 1
1.35136300787764 1.41 1916.82696152856 1
1.31382466347615 1.41 1863.58108294489 1
1.23883904785499 1.41 1757.21850759573 1
1.20130070345351 1.41 1703.97262901207 1
1.12631521601417 1.41 1597.61023548109 1
1.12631528010508 1.41 1597.61032639019 1
1.05123878357484 1.41 1491.11884195013 1
1.05123878357482 1.41 1491.1188419501 1
1.97327819808822 2.85 1384.75663023735 1
1.97327819808818 2.85 1384.75663023732 1
1.00364429809765 1.41 1423.60893347184 1
1.00364423400674 1.41 1423.60884256275 1
1.87701867168846 2.85 1317.20608539541 1
1.87701867168848 2.85 1317.20608539542 1
1.80111570152492 2.85 1263.94084317538 1
1.80111583107036 2.85 1263.94093408446 1
1.72530393136136 2.85 1210.73960095534 1
1.72530393136137 2.85 1210.73960095535 1
1.64949216119784 2.85 1157.53835873533 1
1.64949203165235 2.85 1157.53826782621 1
1.57368039103429 2.85 1104.33711651529 1
1.57368039103429 2.85 1104.33711651529 1
1.57368039103427 2.85 1104.33711651528 1
1.49786875041619 2.85 1051.13596520435 1
1.4220571097981 2.85 997.9348138934 1
1.49786862087072 2.85 1051.13587429524 1
1.42205710979812 2.85 997.934813893415 1
1.34624546918 2.85 944.733662582454 1
1.42205698025262 2.85 997.934722984297 1
1.34624546918002 2.85 944.733662582468 1
1.27034288765284 2.85 891.468693089715 1
1.34624546918 2.85 944.733662582454 1
1.2703428876528 2.85 891.468693089686 1
1.27034275810739 2.85 891.468602180626 1
1.27034288765284 2.85 891.468693089715 1
1.19453137658016 2.85 838.267632687828 1
1.27034288765284 2.85 891.468693089715 1
1.19453137658018 2.85 838.267632687843 1
1.11871986550755 2.85 785.066572285999 1
1.1945313765802 2.85 838.267632687857 1
1.118719995053 2.85 785.066663195088 1
1.11871986550753 2.85 785.066572285985 1
1.118719995053 2.85 785.066663195088 1
1.11871986550757 2.85 785.066572286014 1
1.1187197359621 2.85 785.066481376911 1
1.042908095344 2.85 731.865330065964 1
1.04290939079855 2.85 731.86623915688 1
1.042908095344 2.85 731.865330065964 1
1.042908095344 2.85 731.865330065964 1
1.04290939079859 2.85 731.866239156909 1
1.04290809534398 2.85 731.86533006595 1
1.94437521622398 5.73 678.664996936815 1
2.0388594410587 0.35 11650.6253774783 2
1.79674526623028 0.35 10267.1158070302 2
1.61048348664199 0.35 9202.76278081135 2
1.48016414774837 0.35 8458.08084427638 2
1.36837122090447 0.35 7819.26411945411 2
1.28454951440792 0.35 7340.28293947384 2
1.21008161620897 0.35 6914.75209262269 2
1.14487684448943 0.35 6542.15339708247 2
1.08902635834021 0.35 6223.00776194406 2
1.05179232969529 0.35 6010.24188397307 2
1.01455877832308 0.35 5797.47873327474 2
1.00664440876907 0.35 5752.25376439467 2
1.92941376756383 0.69 5592.50367409806 2
1.89270146043202 0.69 5486.09118965804 2
1.83758799291616 0.69 5326.34200845263 2
1.78256547994566 0.69 5166.8564636106 2
1.76416400592519 0.69 5113.51885775418 2
1.74585317281385 0.69 5060.44397917058 2
1.70914149295474 0.69 4954.0333129123 2
1.67242949945928 0.69 4847.62173756314 2
1.67242949945929 0.69 4847.62173756317 2
1.65402771180246 0.69 4794.28322261584 2
1.63571750596382 0.69 4741.21016221397 2
1.61731603194337 0.69 4687.87255635759 2
1.61731603194338 0.69 4687.87255635762 2
1.61731603194336 0.69 4687.87255635756 2
1.59891424428655 0.69 4634.53404141028 2
1.61731603194337 0.69 4687.87255635759 2
1.59891455792292 0.69 4634.53495050123 2
1.59891455792292 0.69 4634.53495050123 2
1.61731603194339 0.69 4687.87255635764 2
1.61731603194337 0.69 4687.87255635759 2
1.63571719232747 0.69 4741.20925312309 2
1.63571750596383 0.69 4741.210162214 2
1.65402802543885 0.69 4794.28413170681 2
1.67242949945927 0.69 4847.62173756311 2
1.6907397052979 0.69 4900.69479796494 2
1.72745201242975 0.69 5007.10728240508 2
1.72745169879339 0.69 5007.10637331416 2
1.78256547994566 0.69 5166.8564636106 2
1.80087599942068 0.69 5219.93043310341 2
1.83758799291612 0.69 5326.34200845251 2
1.89270177406839 0.69 5486.09209874895 2
1.92941376756387 0.69 5592.50367409817 2
1.00664440876906 0.35 5752.25376439461 2
1.00520465184367 0.35 5744.02658196382 2
1.04243852139768 0.35 5956.79155084386 2
1.08902619924933 0.35 6223.00685285329 2
1.06654862496602 0.69 3091.44528975658 3
1.10326030482514 0.69 3197.85595601489 3
1.12166146520921 0.69 3251.19265278033 3
1.13997198468425 0.69 3304.26662227319 3
1.19508482492741 0.69 3464.01398529683 3
1.21339503076606 0.69 3517.08704569872 3
1.25010702426152 0.69 3623.49862104788 3
1.30521986450465 0.69 3783.24598407146 3
1.34193154436385 0.69 3889.65665033 3
1.39704501187967 0.69 4049.40583153529 3
1.43375669173883 0.69 4155.81649779371 3
1.52549057093198 0.69 4421.71179980284 3
1.58060403844791 0.69 4581.46098100842 3
1.67242949945931 0.69 4847.62173756323 3
1.76416369228881 0.69 5113.51794866321 3
1.87430030004796 0.69 5432.75449289265 3
1.93321638908172 5.73 674.770118353132 4
1.93321638908206 5.73 674.770118353248 4
1.94437261167863 5.73 678.664087845944 4
1.93321638908189 5.73 674.77011835319 4
1.94437521622427 5.73 678.664996936917 4
1.93321638908139 5.73 674.770118353015 4
1.94437261167863 5.73 678.664087845944 4
1.9443752162241 5.73 678.664996936859 4
1.94437521622427 5.73 678.664996936917 4
1.04290809534381 2.85 731.865330065833 4
1.94437521622443 5.73 678.664996936976 4
1.04290809534406 2.85 731.865330066008 4
1.94437261167863 5.73 678.664087845944 4
1.04290939079845 2.85 731.866239156807 4
1.04290809534406 2.85 731.865330066008 4
1.0429080953439 2.85 731.865330065892 4
1.11872116096221 2.85 785.067481376987 4
1.04290809534406 2.85 731.865330066008 4
1.11871986550749 2.85 785.066572285956 4
1.11871986550749 2.85 785.066572285956 4
1.11871986550757 2.85 785.066572286014 4
1.1187198655074 2.85 785.066572285898 4
1.19453163567124 2.85 838.267814506136 4
1.194531635671 2.85 838.267814505962 4
1.19453034021652 2.85 838.266905415105 4
1.19453163567124 2.85 838.267814506136 4
1.194531635671 2.85 838.267814505962 4
1.27034340583467 2.85 891.469056726084 4
1.27034211038012 2.85 891.468147635169 4
1.27034340583484 2.85 891.469056726201 4
1.34624456236175 2.85 944.733026218775 4
1.27034340583467 2.85 891.469056726084 4
1.34624585781631 2.85 944.73393530969 4
1.42205633252543 2.85 997.934268438898 4
1.34624585781639 2.85 944.733935309749 4
1.49786810268869 2.85 1051.13551065873 4
1.42205762797998 2.85 997.935177529813 4
1.49786810268894 2.85 1051.1355106589 4
1.49786939814349 2.85 1051.13641974982 4
1.57367987285236 2.85 1104.33675287885 4
1.573681168307 2.85 1104.33766196982 4
1.57367987285245 2.85 1104.33675287891 4
1.64949164301612 2.85 1157.53799509903 4
1.72530470863402 2.85 1210.74014640984 4
1.72530341317946 2.85 1210.73923731892 4
1.80111647879794 2.85 1263.94138863013 4
1.80111518334305 2.85 1263.94047953899 4
1.87701893077941 2.85 1317.20626721362 4
1.95283070094284 2.85 1370.40750943357 4
1.95283070094276 2.85 1370.40750943351 4
1.9732778094519 2.85 1384.75635751011 4
1.97327780945174 2.85 1384.75635750999 4
1.05123878357497 1.41 1491.11884195032 4
1.05123878357477 1.41 1491.11884195002 4
1.12631534419598 1.41 1597.61041729926 4
1.16376261541568 1.41 1650.72711406479 4
1.23883917603677 1.41 1757.21868941386 4
1.2763774563475 1.41 1810.46447708865 4
