L W R Segment
4.85104152811119 1.41 6880.90996895205 1
4.23817592192986 1.41 6011.59705238278 1
3.72736425200905 1.41 5287.04149221142 1
3.36986401827449 1.41 4779.94896209148 1
3.11450761855499 1.41 4417.74130291487 1
2.85915211610822 1.41 4055.53491646557 1
2.6548682704599 1.41 3765.77059639701 1
2.50165581242821 1.41 3548.44796089108 1
2.34844362357831 1.41 3331.12570720328 1
2.19523179363754 1.41 3113.80396260643 1
2.09309063349519 1.41 2968.92288439034 1
1.9909496528074 1.41 2824.04206071972 1
1.88880885157414 1.41 2679.16149159452 1
1.83773845095751 1.41 2606.72120703193 1
1.73559782917881 1.41 2461.84089245222 1
1.68452760801672 1.41 2389.40086243506 1
1.58238716569257 1.41 2244.5208024008 1
1.58238716569258 1.41 2244.52080240082 1
1.48024690282295 1.41 2099.64099691198 1
1.48024681309567 1.41 2099.64086963925 1
1.37810672968061 1.41 1954.76131869591 1
1.37810672968059 1.41 1954.76131869588 1
1.32703668797309 1.41 1882.32154322424 1
1.32703668797305 1.41 1882.32154322419 1
1.22489669428528 1.41 1737.44211955358 1
1.22489669428529 1.41 1737.4421195536 1
1.17382683203228 1.41 1665.00259862735 1
1.173826742305 1.41 1665.00247135462 1
1.12266284587019 1.41 1592.4295686102 1
1.12266284587021 1.41 1592.42956861023 1
1.07159298361722 1.41 1519.990047684 1
1.0715929836172 1.41 1519.99004768397 1
1.02052312136424 1.41 1447.55052675778 1
1.0205232110915 1.41 1447.55065403049 1
1.02052312136422 1.41 1447.55052675775 1
0.969453348838516 1.41 1375.11113310428 1
0.918383576312774 1.41 1302.67173945074 1
0.969453348838516 1.41 1375.11113310428 1
0.918383576312784 1.41 1302.67173945076 1
0.867313893514344 1.41 1230.23247306999 1
0.918383576312774 1.41 1302.67173945074 1
0.867313893514354 1.41 1230.23247307001 1
0.816244120988633 1.41 1157.7930794165 1
0.867313893514333 1.41 1230.23247306998 1
0.816244120988623 1.41 1157.79307941649 1
0.816244120988633 1.41 1157.7930794165 1
0.816244210715893 1.41 1157.79320668921 1
0.765174438190202 1.41 1085.35381303575 1
0.816244210715893 1.41 1157.79320668921 1
0.765174438190192 1.41 1085.35381303573 1
0.714104845118992 1.41 1012.91467392765 1
0.765174527917463 1.41 1085.35394030846 1
0.714104845119012 1.41 1012.91467392768 1
0.714104845119002 1.41 1012.91467392766 1
0.71410457593719 1.41 1012.91429210949 1
0.714105473209915 1.41 1012.91556483676 1
0.71410457593719 1.41 1012.91429210949 1
0.663035072593311 1.41 940.4752802742 1
0.66303507259326 1.41 940.475280274128 1
0.663035969866047 1.41 940.476553001485 1
0.663035072593281 1.41 940.475280274157 1
0.663035072593311 1.41 940.4752802742 1
0.663035072593291 1.41 940.475280274171 1
0.611965569249381 1.41 868.036268438838 1
11.5420039448438 1.41 16371.6368011969 2
10.2140156088115 1.41 14487.9654025695 2
9.19250351284258 1.41 13039.012074954 2
8.47735818966444 1.41 12024.6215456233 2
7.86446313499213 1.41 11155.2668581449 2
7.40479543307885 1.41 10503.2559334452 2
6.99620441269131 1.41 9923.69420239903 2
6.63868827928407 1.41 9416.57911955187 2
6.33215371649331 1.41 8981.77832126711 2
6.12786044948141 1.41 8692.00063756228 2
5.92356807974214 1.41 8402.2242265846 2
5.71927660727573 1.41 8112.44908833437 2
5.56605732997114 1.41 7895.11678010091 2
5.46391204237431 1.41 7750.22984733945 2
5.31069455961544 1.41 7532.90008456091 2
5.15747617958364 1.41 7315.56904905481 2
5.10640308714889 1.41 7243.12494631048 2
5.05533089198681 1.41 7170.68211629335 2
4.95318650166262 1.41 7025.79645625904 2
4.85104211133843 1.41 6880.91079622472 2
4.85104121406579 1.41 6880.90952349757 2
4.79996901890363 1.41 6808.46669348032 2
4.74889682374155 1.41 6736.0238634632 2
4.69782462857952 1.41 6663.58103344613 2
4.69782462857948 1.41 6663.58103344607 2
4.69782462857952 1.41 6663.58103344613 2
4.64675243341732 1.41 6591.13820342883 2
4.69782462857956 1.41 6663.58103344619 2
4.6467524334174 1.41 6591.13820342894 2
4.6467524334174 1.41 6591.13820342894 2
4.69782552585229 1.41 6663.58230617346 2
4.69782462857948 1.41 6663.58103344607 2
4.74889682374151 1.41 6736.02386346314 2
4.74889682374164 1.41 6736.02386346331 2
4.79996901890367 1.41 6808.46669348038 2
4.85104121406574 1.41 6880.90952349751 2
4.9021143065005 1.41 6953.35362624185 2
5.00425869682469 1.41 7098.23928627616 2
5.00425869682474 1.41 7098.23928627622 2
5.15747617958364 1.41 7315.56904905481 2
5.20854837474576 1.41 7388.011879072 2
5.31069455961536 1.41 7532.9000845608 2
5.46391204237435 1.41 7750.22984733951 2
5.56605732997131 1.41 7895.11678010115 2
5.71927660727567 1.41 8112.44908833428 2
5.87249498730734 1.41 8329.7801238402 2
6.0767873570465 1.41 8619.55653481773 2
6.33215371649347 1.41 8981.77832126734 2
3.16557891644424 1.41 4490.1828602046 3
3.26772151222302 1.41 4635.06597478443 3
3.31879191283977 1.41 4707.5062593472 3
3.36986410800172 1.41 4779.94908936415 3
3.52307889894246 1.41 4997.27503396093 3
3.57414929955912 1.41 5069.71531852358 3
3.67629279261071 1.41 5214.5997058308 3
3.82960179718767 1.41 5432.05928679102 3
3.93174439296669 1.41 5576.9424013712 3
4.08496008117982 1.41 5794.26961869479 3
4.18710447150422 1.41 5939.15527872939 3
4.44246365276902 1.41 6301.36688336032 3
4.59568023825529 1.41 6518.69537341176 3
4.85104211133859 1.41 6880.91079622495 3
5.10640308714868 1.41 7243.12494631018 3
5.41283984721236 1.41 7677.78701732249 3
0.560896065905492 1.41 795.597256603534 4
0.560896065905492 1.41 795.597256603534 4
0.611965569249432 1.41 868.036268438911 4
0.560896065905574 1.41 795.597256603651 4
0.61196556924935 1.41 868.036268438795 4
0.56089606590541 1.41 795.597256603418 4
0.61196556924935 1.41 868.036268438795 4
0.611966466522157 1.41 868.037541166181 4
0.611965569249514 1.41 868.036268439027 4
0.663035072593127 1.41 940.475280273939 4
0.611965569249514 1.41 868.036268439027 4
0.663035072593291 1.41 940.475280274171 4
0.611965569249514 1.41 868.036268439027 4
0.663035969865852 1.41 940.476553001208 4
0.663035072593373 1.41 940.475280274288 4
0.663035072593127 1.41 940.475280273939 4
0.714104575937313 1.41 1012.91429210966 4
0.663035969866098 1.41 940.476553001557 4
0.714104575937149 1.41 1012.91429210943 4
0.714104575937067 1.41 1012.91429210932 4
0.714104575937313 1.41 1012.91429210966 4
0.714105473209792 1.41 1012.91556483658 4
0.765174079281254 1.41 1085.35330394504 4
0.765174976553733 1.41 1085.35457667196 4
0.76517407928109 1.41 1085.35330394481 4
0.765174976553897 1.41 1085.35457667219 4
0.76517407928109 1.41 1085.35330394481 4
0.816244479897591 1.41 1157.79358850722 4
0.816243582625031 1.41 1157.79231578019 4
0.816244479897838 1.41 1157.79358850757 4
0.867313983241532 1.41 1230.2326003426 4
0.816243582625031 1.41 1157.79231578019 4
0.867313983241532 1.41 1230.2326003426 4
0.918383486585555 1.41 1302.67161217809 4
0.867313983241614 1.41 1230.23260034272 4
0.969453887202138 1.41 1375.11189674062 4
0.918383486585473 1.41 1302.67161217798 4
0.969452989929413 1.41 1375.11062401335 4
0.96945388720222 1.41 1375.11189674074 4
1.02052249327327 1.41 1447.54963584861 4
1.02052339054608 1.41 1447.550908576 4
1.020523390546 1.41 1447.55090857588 4
