 v-sweep       d0            d1            d2            d3            d4            d5            d6            d7            d8            d9            in            load          v-sweep       vmeas#branch  vmeas1#branch vmeas2#branch vmeas4#branch vmeas5#branch vout          ndata        
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.187963e-04  0.000000e+00  4.293921e-07  1.072475e-06  2.228534e-09  1.652116e-05 -5.391098e-08 -1.203135e-04  0.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.250212e-02  0.000000e+00  4.293966e-07  1.072477e-06 -4.432442e-07  1.726908e-05 -1.508000e-09  5.248704e-02  1.000000e+00 
 0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  9.861284e-02  0.000000e+00  4.293951e-07  1.072472e-06  4.455800e-07  1.909087e-05 -9.362566e-10  9.860348e-02  2.000000e+00 
 0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.393865e-01  0.000000e+00  4.293959e-07  1.072475e-06  1.166676e-09  1.690336e-05 -8.535562e-10  1.393779e-01  3.000000e+00 
 0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.763944e-01  0.000000e+00  4.293959e-07  1.072475e-06  1.895374e-09  1.688697e-05  3.886278e-11  1.763947e-01  4.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.107880e-01  0.000000e+00  4.293958e-07  1.072475e-06  8.786715e-10  1.686048e-05 -2.125185e-09  2.107667e-01  5.000000e+00 
 0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.424628e-01  0.000000e+00  4.293964e-07  1.072478e-06 -4.546635e-07  1.547575e-05 -4.053064e-09  2.424222e-01  6.000000e+00 
 0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.720462e-01  0.000000e+00  4.293958e-07  1.072475e-06  9.003419e-10  1.689072e-05 -2.195432e-09  2.720243e-01  7.000000e+00 
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.999562e-01  0.000000e+00  4.293960e-07  1.072475e-06  1.016190e-09  1.689449e-05  4.749512e-10  2.999609e-01  8.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.262982e-01  0.000000e+00  4.293960e-07  1.072475e-06  9.089448e-10  1.694985e-05  9.592494e-10  3.263077e-01  9.000000e+00 
 0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.509672e-01  0.000000e+00  4.293959e-07  1.072475e-06  1.157310e-09  1.685970e-05 -9.706974e-10  3.509575e-01  1.000000e+01 
 0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.745906e-01  0.000000e+00  4.293959e-07  1.072475e-06  1.079065e-09  1.690051e-05 -1.454590e-09  3.745760e-01  1.100000e+01 
 0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.971681e-01  0.000000e+00  4.293952e-07  1.072474e-06  4.538307e-07  1.766464e-05  1.346644e-09  3.971815e-01  1.200000e+01 
 0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.187002e-01  0.000000e+00  4.293959e-07  1.072475e-06  8.447985e-10  1.690334e-05 -1.466579e-09  4.186856e-01  1.300000e+01 
 0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.397095e-01  0.000000e+00  4.293960e-07  1.072475e-06  8.559096e-10  1.692798e-05  2.737741e-11  4.397097e-01  1.400000e+01 
 0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.595686e-01  0.000000e+00  4.293960e-07  1.072475e-06  8.728032e-10  1.699027e-05  1.079633e-09  4.595794e-01  1.500000e+01 
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.789031e-01  0.000000e+00  4.293968e-07  1.072479e-06 -4.203833e-07  1.657209e-05  7.346130e-10  4.789105e-01  1.600000e+01 
