 time            out             load           
 2.02021600e-05  1.06215596e+00  1.05731377e+00 
 2.02121600e-05  1.06211457e+00  1.05747186e+00 
 2.02221600e-05  1.06207263e+00  1.05762339e+00 
 2.02321600e-05  1.06203272e+00  1.05776861e+00 
 2.02421600e-05  1.06199620e+00  1.05790782e+00 
 2.02521600e-05  1.06196361e+00  1.05804133e+00 
 2.02621600e-05  1.06193497e+00  1.05816946e+00 
 2.02721600e-05  1.06191000e+00  1.05829251e+00 
 2.02821600e-05  1.06188830e+00  1.05841076e+00 
 2.02921600e-05  1.06186937e+00  1.05852447e+00 
 2.03021600e-05  1.06185274e+00  1.05863386e+00 
 2.03121600e-05  1.06183796e+00  1.05873916e+00 
 2.03221600e-05  1.06182462e+00  1.05884054e+00 
 2.03321600e-05  1.06181240e+00  1.05893818e+00 
 2.03421600e-05  1.06180099e+00  1.05903223e+00 
 2.03521600e-05  1.06179019e+00  1.05912283e+00 
 2.03621600e-05  1.06177981e+00  1.05921011e+00 
 2.03721600e-05  1.06176970e+00  1.05929420e+00 
 2.03821600e-05  1.06175976e+00  1.05937520e+00 
 2.03921600e-05  1.06174993e+00  1.05945322e+00 
 2.04021600e-05  1.06174016e+00  1.05952836e+00 
 2.04121600e-05  1.06173040e+00  1.05960072e+00 
 2.04221600e-05  1.06172065e+00  1.05967039e+00 
 2.04321600e-05  1.06171091e+00  1.05973745e+00 
 2.04421600e-05  1.06170117e+00  1.05980199e+00 
 2.04521600e-05  1.06169146e+00  1.05986410e+00 
 2.04621600e-05  1.06168178e+00  1.05992386e+00 
 2.04721600e-05  1.06167215e+00  1.05998134e+00 
 2.04821600e-05  1.06166260e+00  1.06003662e+00 
 2.04921600e-05  1.06165314e+00  1.06008977e+00 
 2.05021600e-05  1.06164379e+00  1.06014088e+00 
 2.05121600e-05  1.06163456e+00  1.06019000e+00 
 2.05221600e-05  1.06162549e+00  1.06023722e+00 
 2.05321600e-05  1.06161657e+00  1.06028259e+00 
 2.05421600e-05  1.06160783e+00  1.06032618e+00 
 2.05521600e-05  1.06159928e+00  1.06036806e+00 
 2.05621600e-05  1.06159092e+00  1.06040829e+00 
 2.05721600e-05  1.06158277e+00  1.06044693e+00 
 2.05821600e-05  1.06157484e+00  1.06048404e+00 
 2.05921600e-05  1.06156712e+00  1.06051968e+00 
 2.06021600e-05  1.06155963e+00  1.06055390e+00 
 2.06121600e-05  1.06155236e+00  1.06058676e+00 
 2.06221600e-05  1.06154532e+00  1.06061830e+00 
 2.06321600e-05  1.06153851e+00  1.06064858e+00 
 2.06421600e-05  1.06153192e+00  1.06067765e+00 
 2.06521600e-05  1.06152556e+00  1.06070556e+00 
 2.06621600e-05  1.06151942e+00  1.06073234e+00 
 2.06721600e-05  1.06151350e+00  1.06075805e+00 
 2.06821600e-05  1.06150780e+00  1.06078273e+00 
 2.06921600e-05  1.06150231e+00  1.06080641e+00 
 2.07021600e-05  1.06149703e+00  1.06082914e+00 
 2.07121600e-05  1.06149195e+00  1.06085095e+00 
 2.07221600e-05  1.06148706e+00  1.06087189e+00 
 2.07321600e-05  1.06148236e+00  1.06089198e+00 
 2.07421600e-05  1.06147785e+00  1.06091126e+00 
 2.07521600e-05  1.06147352e+00  1.06092977e+00 
 2.07621600e-05  1.06146936e+00  1.06094753e+00 
 2.07721600e-05  1.06146537e+00  1.06096457e+00 
 2.07821600e-05  1.06146154e+00  1.06098093e+00 
 2.07921600e-05  1.06145787e+00  1.06099663e+00 
 2.08021600e-05  1.06145434e+00  1.06101169e+00 
 2.08121600e-05  1.06145096e+00  1.06102615e+00 
 2.08221600e-05  1.06144772e+00  1.06104002e+00 
 2.08321600e-05  1.06144461e+00  1.06105334e+00 
 2.08421600e-05  1.06144162e+00  1.06106612e+00 
 2.08521600e-05  1.06143876e+00  1.06107839e+00 
 2.08621600e-05  1.06143603e+00  1.06109016e+00 
 2.08721600e-05  1.06143340e+00  1.06110145e+00 
 2.08821600e-05  1.06143088e+00  1.06111229e+00 
 2.08921600e-05  1.06142847e+00  1.06112270e+00 
 2.09021600e-05  1.06142615e+00  1.06113269e+00 
 2.09121600e-05  1.06142393e+00  1.06114227e+00 
 2.09221600e-05  1.06142181e+00  1.06115147e+00 
 2.09321600e-05  1.06141977e+00  1.06116030e+00 
 2.09421600e-05  1.06141781e+00  1.06116878e+00 
 2.09521600e-05  1.06141594e+00  1.06117691e+00 
 2.09621600e-05  1.06141414e+00  1.06118472e+00 
 2.09721600e-05  1.06141242e+00  1.06119221e+00 
 2.09821600e-05  1.06141077e+00  1.06119941e+00 
 2.09921600e-05  1.06140918e+00  1.06120631e+00 
 2.10021600e-05  1.06140766e+00  1.06121294e+00 
 2.10121600e-05  1.06140620e+00  1.06121930e+00 
 2.10221600e-05  1.06140481e+00  1.06122540e+00 
 2.10321600e-05  1.06140347e+00  1.06123126e+00 
 2.10421600e-05  1.06140219e+00  1.06123689e+00 
 2.10521600e-05  1.06140096e+00  1.06124229e+00 
 2.10621600e-05  1.06139979e+00  1.06124747e+00 
 2.10721600e-05  1.06139866e+00  1.06125245e+00 
 2.10821600e-05  1.06139757e+00  1.06125722e+00 
 2.10921600e-05  1.06139653e+00  1.06126181e+00 
 2.11021600e-05  1.06139553e+00  1.06126621e+00 
 2.11121600e-05  1.06139458e+00  1.06127043e+00 
 2.11221600e-05  1.06139366e+00  1.06127449e+00 
 2.11321600e-05  1.06139278e+00  1.06127838e+00 
 2.11421600e-05  1.06139194e+00  1.06128212e+00 
 2.11521600e-05  1.06139113e+00  1.06128571e+00 
 2.11621600e-05  1.06139035e+00  1.06128915e+00 
 2.11721600e-05  1.06138961e+00  1.06129245e+00 
 2.11821600e-05  1.06138889e+00  1.06129563e+00 
 2.11921600e-05  1.06138821e+00  1.06129867e+00 
 2.12021600e-05  1.06138755e+00  1.06130160e+00 
 2.12121600e-05  1.06138692e+00  1.06130441e+00 
 2.12221600e-05  1.06138632e+00  1.06130710e+00 
 2.12321600e-05  1.06138573e+00  1.06130969e+00 
 2.12421600e-05  1.06138518e+00  1.06131217e+00 
 2.12521600e-05  1.06138464e+00  1.06131456e+00 
 2.12621600e-05  1.06138413e+00  1.06131685e+00 
 2.12721600e-05  1.06138364e+00  1.06131905e+00 
 2.12821600e-05  1.06138317e+00  1.06132116e+00 
 2.12921600e-05  1.06138271e+00  1.06132318e+00 
 2.13021600e-05  1.06138228e+00  1.06132513e+00 
 2.13121600e-05  1.06138186e+00  1.06132699e+00 
 2.13221600e-05  1.06138146e+00  1.06132879e+00 
 2.13321600e-05  1.06138108e+00  1.06133051e+00 
 2.13421600e-05  1.06138071e+00  1.06133216e+00 
 2.13521600e-05  1.06138036e+00  1.06133375e+00 
 2.13621600e-05  1.06138002e+00  1.06133527e+00 
 2.13721600e-05  1.06137969e+00  1.06133673e+00 
 2.13821600e-05  1.06137938e+00  1.06133813e+00 
 2.13921600e-05  1.06137908e+00  1.06133948e+00 
 2.14021600e-05  1.06137879e+00  1.06134077e+00 
 2.14121600e-05  1.06137851e+00  1.06134202e+00 
 2.14221600e-05  1.06137824e+00  1.06134321e+00 
 2.14321600e-05  1.06137799e+00  1.06134435e+00 
 2.14421600e-05  1.06137774e+00  1.06134545e+00 
 2.14521600e-05  1.06137751e+00  1.06134651e+00 
 2.14621600e-05  1.06137728e+00  1.06134752e+00 
 2.14721600e-05  1.06137707e+00  1.06134849e+00 
 2.14821600e-05  1.06137686e+00  1.06134942e+00 
 2.14921600e-05  1.06137666e+00  1.06135032e+00 
 2.15021600e-05  1.06137647e+00  1.06135118e+00 
 2.15121600e-05  1.06137629e+00  1.06135201e+00 
 2.15221600e-05  1.06137611e+00  1.06135280e+00 
 2.15321600e-05  1.06137594e+00  1.06135356e+00 
 2.15421600e-05  1.06137578e+00  1.06135429e+00 
 2.15521600e-05  1.06137562e+00  1.06135500e+00 
 2.15621600e-05  1.06137547e+00  1.06135567e+00 
 2.15721600e-05  1.06137533e+00  1.06135632e+00 
 2.15821600e-05  1.06137519e+00  1.06135694e+00 
 2.15921600e-05  1.06137506e+00  1.06135753e+00 
 2.16021600e-05  1.06137493e+00  1.06135811e+00 
 2.16121600e-05  1.06137481e+00  1.06135866e+00 
 2.16221600e-05  1.06137470e+00  1.06135918e+00 
 2.16321600e-05  1.06137459e+00  1.06135969e+00 
 2.16421600e-05  1.06137448e+00  1.06136018e+00 
 2.16521600e-05  1.06137438e+00  1.06136064e+00 
 2.16621600e-05  1.06137428e+00  1.06136109e+00 
 2.16721600e-05  1.06137419e+00  1.06136152e+00 
 2.16821600e-05  1.06137409e+00  1.06136194e+00 
 2.16921600e-05  1.06137401e+00  1.06136234e+00 
 2.17021600e-05  1.06137392e+00  1.06136272e+00 
 2.17121600e-05  1.06137384e+00  1.06136308e+00 
 2.17221600e-05  1.06137376e+00  1.06136343e+00 
 2.17321600e-05  1.06137369e+00  1.06136377e+00 
 2.17421600e-05  1.06137362e+00  1.06136410e+00 
 2.17521600e-05  1.06137355e+00  1.06136441e+00 
 2.17621600e-05  1.06137348e+00  1.06136471e+00 
 2.17721600e-05  1.06137342e+00  1.06136499e+00 
 2.17821600e-05  1.06137336e+00  1.06136527e+00 
 2.17921600e-05  1.06137330e+00  1.06136553e+00 
 2.18021600e-05  1.06137324e+00  1.06136579e+00 
 2.18121600e-05  1.06137319e+00  1.06136603e+00 
 2.18221600e-05  1.06137313e+00  1.06136626e+00 
 2.18321600e-05  1.06137309e+00  1.06136649e+00 
 2.18421600e-05  1.06137304e+00  1.06136670e+00 
 2.18521600e-05  1.06137299e+00  1.06136691e+00 
 2.18621600e-05  1.06137295e+00  1.06136711e+00 
 2.18721600e-05  1.06137291e+00  1.06136730e+00 
 2.18821600e-05  1.06137287e+00  1.06136748e+00 
 2.18921600e-05  1.06137283e+00  1.06136766e+00 
 2.19021600e-05  1.06137279e+00  1.06136783e+00 
 2.19121600e-05  1.06137276e+00  1.06136799e+00 
 2.19221600e-05  1.06137272e+00  1.06136815e+00 
 2.19321600e-05  1.06137269e+00  1.06136830e+00 
 2.19421600e-05  1.06137266e+00  1.06136844e+00 
