 v-sweep       d0            d1            d2            d3            d4            d5            d6            d7            d8            d9            in            load          v-sweep       vmeas#branch  vmeas1#branch vmeas2#branch vmeas4#branch vmeas5#branch vout          ndata        
 0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.327210e-01  0.000000e+00  3.999956e-07  9.999956e-07  1.197593e-09  1.613837e-05 -1.013432e-11  5.327209e-01  1.900000e+01 
 0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.499432e-01  0.000000e+00  3.999956e-07  9.999956e-07  9.945984e-10  1.615005e-05 -6.866240e-11  5.499425e-01  2.000000e+01 
 0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.660133e-01  0.000000e+00  3.999956e-07  9.999956e-07  9.940049e-10  1.617537e-05  1.683389e-10  5.660150e-01  2.100000e+01 
 0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.820837e-01  0.000000e+00  3.999956e-07  9.999956e-07  9.956991e-10  1.620592e-05 -6.212477e-11  5.820830e-01  2.200000e+01 
 0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.976305e-01  0.000000e+00  3.999956e-07  9.999956e-07  9.949104e-10  1.623686e-05 -6.186756e-11  5.976299e-01  2.300000e+01 
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  6.131772e-01  0.000000e+00  3.999956e-07  9.999956e-07  9.485685e-10  1.627963e-05  8.357071e-12  6.131773e-01  2.400000e+01 
 0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  6.276770e-01  0.000000e+00  3.999955e-07  9.999956e-07  9.930822e-10  1.630661e-05 -2.697259e-10  6.276743e-01  2.500000e+01 
 0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  6.421771e-01  0.000000e+00  3.999956e-07  9.999956e-07  9.952361e-10  1.635195e-05 -2.143357e-11  6.421769e-01  2.600000e+01 
 0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  6.561536e-01  0.000000e+00  3.999956e-07  9.999956e-07  8.880232e-10  1.640863e-05 -6.495284e-11  6.561529e-01  2.700000e+01 
 0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  6.701302e-01  0.000000e+00  3.999956e-07  9.999956e-07  9.946939e-10  1.643494e-05 -3.648862e-11  6.701298e-01  2.800000e+01 
