 v-sweep         out             load           
 6.00000000e-02  5.99808059e-02  5.99805137e-02 
 7.00000000e-02  6.99811738e-02  6.99810963e-02 
 8.00000000e-02  8.00664217e-02  7.99815699e-02 
 9.00000000e-02  9.00668279e-02  8.99821872e-02 
 1.00000000e-01  1.00067036e-01  9.99827486e-02 
 1.10000000e-01  1.10067137e-01  1.09983221e-01 
 1.20000000e-01  1.19900764e-01  1.19983624e-01 
 1.30000000e-01  1.29901269e-01  1.29983995e-01 
 1.40000000e-01  1.39901874e-01  1.39984323e-01 
 1.50000000e-01  1.49902338e-01  1.49984619e-01 
 1.60000000e-01  1.59902802e-01  1.59984861e-01 
 1.70000000e-01  1.69986217e-01  1.69985319e-01 
 1.80000000e-01  1.79903687e-01  1.79985310e-01 
 1.90000000e-01  1.89985755e-01  1.89985732e-01 
 2.00000000e-01  1.99986778e-01  1.99985960e-01 
 2.10000000e-01  2.09987122e-01  2.09986130e-01 
 2.20000000e-01  2.19986662e-01  2.19986296e-01 
 2.30000000e-01  2.29906420e-01  2.29986228e-01 
 2.40000000e-01  2.39987504e-01  2.39986602e-01 
 2.50000000e-01  2.49987647e-01  2.49986757e-01 
 2.60000000e-01  2.59987690e-01  2.59986871e-01 
 2.70000000e-01  2.69906725e-01  2.69986838e-01 
 2.80000000e-01  2.79906928e-01  2.79986948e-01 
 2.90000000e-01  2.89907132e-01  2.89987056e-01 
 3.00000000e-01  2.99907405e-01  2.99987183e-01 
 3.10000000e-01  3.09907715e-01  3.09987267e-01 
 3.20000000e-01  3.19907996e-01  3.19987381e-01 
 3.30000000e-01  3.29908732e-01  3.29987478e-01 
 3.40000000e-01  3.39908026e-01  3.39987537e-01 
 3.50000000e-01  3.49908950e-01  3.49987608e-01 
 3.60000000e-01  3.59987908e-01  3.59987864e-01 
 3.70000000e-01  3.69984687e-01  3.69987877e-01 
 3.80000000e-01  3.79988474e-01  3.79987936e-01 
 3.90000000e-01  3.89987692e-01  3.89987934e-01 
 4.00000000e-01  3.99987888e-01  3.99987932e-01 
 4.10000000e-01  4.09987911e-01  4.09987889e-01 
 4.20000000e-01  4.19987813e-01  4.19987842e-01 
 4.30000000e-01  4.29987693e-01  4.29987770e-01 
 4.40000000e-01  4.39987627e-01  4.39987673e-01 
 4.50000000e-01  4.49987540e-01  4.49987534e-01 
 4.60000000e-01  4.59988264e-01  4.59987388e-01 
 4.70000000e-01  4.70088079e-01  4.69987255e-01 
 4.80000000e-01  4.79986631e-01  4.79986961e-01 
 4.90000000e-01  4.89986721e-01  4.89986699e-01 
 5.00000000e-01  5.00093380e-01  4.99986487e-01 
 5.10000000e-01  5.10093921e-01  5.09986171e-01 
 5.20000000e-01  5.20093904e-01  5.19985846e-01 
 5.30000000e-01  5.30093810e-01  5.29985499e-01 
 5.40000000e-01  5.40093238e-01  5.39985160e-01 
