 v-sweep       d0            d1            d2            d3            d4            d5            d6            d7            d8            d9            in            load          v-sweep       vmeas#branch  vmeas1#branch vmeas2#branch vmeas4#branch vmeas5#branch vout          ndata        
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.463233e-04  0.000000e+00  3.652653e-07  9.139864e-07 -7.947098e-07  1.531236e-05  8.735528e-10  2.550589e-04  0.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.266799e-02  0.000000e+00  3.652656e-07  9.139854e-07  1.932089e-09  1.500055e-05  3.269212e-10  5.267126e-02  1.000000e+00 
 0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  9.884424e-02  0.000000e+00  3.652656e-07  9.139854e-07  9.781266e-10  1.502521e-05 -5.051449e-10  9.883919e-02  2.000000e+00 
 0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.396667e-01  0.000000e+00  3.652656e-07  9.139854e-07  9.782767e-10  1.503397e-05  3.721314e-10  1.396705e-01  3.000000e+00 
 0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.767088e-01  0.000000e+00  3.652656e-07  9.139855e-07  1.136623e-09  1.503838e-05  1.520603e-10  1.767104e-01  4.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.111257e-01  0.000000e+00  3.652656e-07  9.139854e-07  9.768248e-10  1.503501e-05  5.384164e-11  2.111262e-01  5.000000e+00 
 0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.428121e-01  0.000000e+00  3.652656e-07  9.139854e-07  1.043601e-10  1.504887e-05  2.621266e-10  2.428148e-01  6.000000e+00 
 0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.723983e-01  0.000000e+00  3.652656e-07  9.139854e-07  1.141009e-09  1.503951e-05  3.451994e-11  2.723987e-01  7.000000e+00 
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.003039e-01  0.000000e+00  3.652656e-07  9.139854e-07  9.788813e-10  1.503432e-05 -1.888461e-10  3.003020e-01  8.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.266346e-01  0.000000e+00  3.652656e-07  9.139854e-07  9.774671e-10  1.503523e-05 -1.314521e-10  3.266332e-01  9.000000e+00 
