 frequency  @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cdd] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgb] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgd] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgdo] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgg] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgs] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgso] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[css] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[gds] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[gm] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[gmbs] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[id] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[l] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[vds] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[vdsat] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[vgs] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[vth] frequency  vsb       
 1.000e+00  1.753e-19 -2.407e-15 -1.201e-19  1.067e-15  2.420e-15 -1.251e-17  1.074e-15  1.005e-17  3.802e-16  8.228e-15  3.916e-15  3.390e-16  5.000e-07  1.500e-01  4.250e-02 -1.966e-17  9.520e-01  1.000e+00  0.000e+00 
 1.000e+00  5.481e-20 -1.750e-15 -3.563e-20  1.067e-15  1.755e-15 -4.971e-18  1.074e-15  3.225e-18  6.064e-18  1.379e-16  5.007e-17  5.300e-18  5.000e-07  1.500e-01  4.512e-02  2.320e-14  1.058e+00  1.000e+00  4.000e-01 
 1.000e+00  2.067e-20 -1.442e-15 -1.306e-20  1.067e-15  1.444e-15 -2.179e-18  1.074e-15  1.253e-18  1.853e-19  4.321e-18  1.300e-18  1.589e-19  5.000e-07  1.500e-01  4.730e-02  4.640e-14  1.147e+00  1.000e+00  8.000e-01 
 1.000e+00  8.801e-21 -1.255e-15 -5.459e-21  1.067e-15  1.256e-15 -1.062e-18  1.074e-15  5.478e-19  8.616e-21  2.036e-19  5.298e-20  7.256e-21  5.000e-07  1.500e-01  4.925e-02  6.960e-14  1.227e+00  1.000e+00  1.200e+00 
 1.000e+00  2.025e-21 -1.029e-15 -1.230e-21  1.067e-15  1.030e-15 -3.362e-19  1.074e-15  1.326e-19  4.299e-23  1.022e-21  2.141e-22  3.491e-23  5.000e-07  1.500e-01  5.283e-02  1.160e-13  1.364e+00  1.000e+00  2.000e+00 
 1.000e+00  4.320e-22 -8.676e-16 -2.591e-22  1.067e-15  8.677e-16 -1.275e-19  1.074e-15  3.018e-20  1.613e-25  3.795e-24  6.502e-25  1.252e-25  5.000e-07  1.500e-01  5.699e-02  1.740e-13  1.508e+00  1.000e+00  3.000e+00 
 1.000e+00  7.266e-20 -2.407e-15 -4.093e-20  1.065e-15  2.420e-15 -1.255e-17  1.074e-15  1.008e-17  3.477e-16  8.667e-15  4.124e-15  3.570e-16  5.000e-07  2.000e-01  4.249e-02 -2.071e-17  9.517e-01  1.000e+00  0.000e+00 
 1.000e+00  2.182e-20 -1.750e-15 -8.586e-21  1.065e-15  1.755e-15 -4.988e-18  1.074e-15  3.235e-18  5.562e-18  1.454e-16  5.278e-17  5.589e-18  5.000e-07  2.000e-01  4.512e-02  2.320e-14  1.058e+00  1.000e+00  4.000e-01 
 1.000e+00  7.907e-21 -1.442e-15 -2.076e-21  1.065e-15  1.444e-15 -2.187e-18  1.074e-15  1.257e-18  1.704e-19  4.561e-18  1.371e-18  1.678e-19  5.000e-07  2.000e-01  4.730e-02  4.640e-14  1.147e+00  1.000e+00  8.000e-01 
 1.000e+00  3.230e-21 -1.255e-15 -4.671e-22  1.065e-15  1.256e-15 -1.066e-18  1.074e-15  5.498e-19  7.942e-21  2.151e-19  5.597e-20  7.667e-21  5.000e-07  2.000e-01  4.925e-02  6.960e-14  1.226e+00  1.000e+00  1.200e+00 
 1.000e+00  6.797e-22 -1.029e-15  6.506e-23  1.065e-15  1.030e-15 -3.373e-19  1.074e-15  1.332e-19  3.979e-23  1.082e-21  2.266e-22  3.696e-23  5.000e-07  2.000e-01  5.283e-02  1.160e-13  1.363e+00  1.000e+00  2.000e+00 
 1.000e+00  1.266e-22 -8.676e-16  5.843e-23  1.065e-15  8.677e-16 -1.278e-19  1.074e-15  3.033e-20  1.500e-25  4.030e-24  6.900e-25  1.329e-25  5.000e-07  2.000e-01  5.699e-02  1.740e-13  1.508e+00  1.000e+00  3.000e+00 
 1.000e+00  3.027e-20 -2.407e-15 -8.521e-21  1.063e-15  2.420e-15 -1.257e-17  1.074e-15  1.009e-17  3.325e-16  9.079e-15  4.319e-15  3.740e-16  5.000e-07  2.500e-01  4.249e-02 -2.169e-17  9.515e-01  1.000e+00  0.000e+00 
 1.000e+00  8.190e-21 -1.750e-15  2.497e-21  1.063e-15  1.755e-15 -4.997e-18  1.074e-15  3.242e-18  5.340e-18  1.525e-16  5.533e-17  5.861e-18  5.000e-07  2.500e-01  4.512e-02  2.320e-14  1.057e+00  1.000e+00  4.000e-01 
 1.000e+00  2.627e-21 -1.442e-15  2.428e-21  1.063e-15  1.444e-15 -2.191e-18  1.074e-15  1.260e-18  1.642e-19  4.788e-18  1.439e-18  1.761e-19  5.000e-07  2.500e-01  4.730e-02  4.640e-14  1.147e+00  1.000e+00  8.000e-01 
 1.000e+00  9.257e-22 -1.255e-15  1.582e-21  1.063e-15  1.256e-15 -1.068e-18  1.074e-15  5.513e-19  7.677e-21  2.260e-19  5.879e-20  8.056e-21  5.000e-07  2.500e-01  4.925e-02  6.960e-14  1.226e+00  1.000e+00  1.200e+00 
 1.000e+00  1.226e-22 -1.029e-15  5.975e-22  1.063e-15  1.030e-15 -3.379e-19  1.074e-15  1.336e-19  3.869e-23  1.140e-21  2.385e-22  3.892e-23  5.000e-07  2.500e-01  5.283e-02  1.160e-13  1.363e+00  1.000e+00  2.000e+00 
 1.000e+00 -2.064e-26 -8.676e-16  1.892e-22  1.063e-15  8.677e-16 -1.280e-19  1.074e-15  3.044e-20  1.468e-25  4.254e-24  7.280e-25  1.403e-25  5.000e-07  2.500e-01  5.699e-02  1.740e-13  1.507e+00  1.000e+00  3.000e+00 
 1.000e+00  9.652e-21 -2.407e-15  7.159e-21  1.061e-15  2.420e-15 -1.259e-17  1.074e-15  1.011e-17  3.235e-16  9.476e-15  4.507e-15  3.904e-16  5.000e-07  3.000e-01  4.249e-02 -2.264e-17  9.512e-01  1.000e+00  0.000e+00 
 1.000e+00  1.553e-21 -1.750e-15  7.868e-21  1.061e-15  1.755e-15 -5.005e-18  1.074e-15  3.248e-18  5.216e-18  1.593e-16  5.780e-17  6.124e-18  5.000e-07  3.000e-01  4.512e-02  2.320e-14  1.057e+00  1.000e+00  4.000e-01 
 1.000e+00  5.504e-23 -1.442e-15  4.614e-21  1.061e-15  1.444e-15 -2.195e-18  1.074e-15  1.263e-18  1.609e-19  5.008e-18  1.505e-18  1.842e-19  5.000e-07  3.000e-01  4.730e-02  4.640e-14  1.146e+00  1.000e+00  8.000e-01 
 1.000e+00 -1.976e-22 -1.255e-15  2.578e-21  1.061e-15  1.256e-15 -1.070e-18  1.074e-15  5.526e-19  7.549e-21  2.367e-19  6.154e-20  8.436e-21  5.000e-07  3.000e-01  4.925e-02  6.960e-14  1.226e+00  1.000e+00  1.200e+00 
 1.000e+00 -1.493e-22 -1.029e-15  8.569e-22  1.061e-15  1.030e-15 -3.385e-19  1.074e-15  1.340e-19  3.826e-23  1.196e-21  2.501e-22  4.084e-23  5.000e-07  3.000e-01  5.283e-02  1.160e-13  1.362e+00  1.000e+00  2.000e+00 
 1.000e+00 -6.191e-23 -8.676e-16  2.531e-22  1.061e-15  8.677e-16 -1.281e-19  1.074e-15  3.055e-20  1.461e-25  4.476e-24  7.656e-25  1.476e-25  5.000e-07  3.000e-01  5.699e-02  1.740e-13  1.507e+00  1.000e+00  3.000e+00 
 1.000e+00 -1.573e-21 -2.407e-15  1.566e-20  1.060e-15  2.420e-15 -1.260e-17  1.074e-15  1.012e-17  3.177e-16  9.865e-15  4.690e-15  4.064e-16  5.000e-07  3.500e-01  4.249e-02 -2.357e-17  9.509e-01  1.000e+00  0.000e+00 
 1.000e+00 -2.064e-21 -1.750e-15  1.079e-20  1.060e-15  1.755e-15 -5.011e-18  1.074e-15  3.253e-18  5.142e-18  1.661e-16  6.023e-17  6.383e-18  5.000e-07  3.500e-01  4.512e-02  2.320e-14  1.057e+00  1.000e+00  4.000e-01 
 1.000e+00 -1.348e-21 -1.442e-15  5.806e-21  1.060e-15  1.444e-15 -2.198e-18  1.074e-15  1.266e-18  1.591e-19  5.226e-18  1.570e-18  1.922e-19  5.000e-07  3.500e-01  4.730e-02  4.640e-14  1.146e+00  1.000e+00  8.000e-01 
 1.000e+00 -8.108e-22 -1.255e-15  3.122e-21  1.060e-15  1.256e-15 -1.071e-18  1.074e-15  5.539e-19  7.487e-21  2.472e-19  6.426e-20  8.812e-21  5.000e-07  3.500e-01  4.925e-02  6.960e-14  1.225e+00  1.000e+00  1.200e+00 
 1.000e+00 -2.980e-22 -1.029e-15  9.990e-22  1.060e-15  1.030e-15 -3.391e-19  1.074e-15  1.344e-19  3.815e-23  1.252e-21  2.617e-22  4.275e-23  5.000e-07  3.500e-01  5.283e-02  1.160e-13  1.362e+00  1.000e+00  2.000e+00 
 1.000e+00 -9.585e-23 -8.676e-16  2.883e-22  1.060e-15  8.677e-16 -1.283e-19  1.074e-15  3.066e-20  1.465e-25  4.697e-24  8.031e-25  1.550e-25  5.000e-07  3.500e-01  5.699e-02  1.740e-13  1.507e+00  1.000e+00  3.000e+00 
 1.000e+00 -8.207e-21 -2.407e-15  2.068e-20  1.058e-15  2.420e-15 -1.261e-17  1.074e-15  1.014e-17  3.140e-16  1.025e-14  4.871e-15  4.222e-16  5.000e-07  4.000e-01  4.249e-02 -2.449e-17  9.507e-01  1.000e+00  0.000e+00 
 1.000e+00 -4.204e-21 -1.750e-15  1.252e-20  1.058e-15  1.755e-15 -5.018e-18  1.074e-15  3.259e-18  5.098e-18  1.727e-16  6.262e-17  6.639e-18  5.000e-07  4.000e-01  4.512e-02  2.320e-14  1.056e+00  1.000e+00  4.000e-01 
 1.000e+00 -2.179e-21 -1.442e-15  6.514e-21  1.058e-15  1.444e-15 -2.201e-18  1.074e-15  1.268e-18  1.582e-19  5.441e-18  1.634e-18  2.001e-19  5.000e-07  4.000e-01  4.730e-02  4.640e-14  1.146e+00  1.000e+00  8.000e-01 
 1.000e+00 -1.175e-21 -1.255e-15  3.446e-21  1.058e-15  1.256e-15 -1.073e-18  1.074e-15  5.551e-19  7.464e-21  2.577e-19  6.696e-20  9.186e-21  5.000e-07  4.000e-01  4.925e-02  6.960e-14  1.225e+00  1.000e+00  1.200e+00 
 1.000e+00 -3.865e-22 -1.029e-15  1.084e-21  1.058e-15  1.030e-15 -3.396e-19  1.074e-15  1.348e-19  3.822e-23  1.308e-21  2.733e-22  4.466e-23  5.000e-07  4.000e-01  5.283e-02  1.160e-13  1.362e+00  1.000e+00  2.000e+00 
 1.000e+00 -1.161e-22 -8.676e-16  3.095e-22  1.058e-15  8.677e-16 -1.285e-19  1.074e-15  3.076e-20  1.476e-25  4.920e-24  8.408e-25  1.623e-25  5.000e-07  4.000e-01  5.699e-02  1.740e-13  1.506e+00  1.000e+00  3.000e+00 
 1.000e+00 -1.238e-20 -2.407e-15  2.384e-20  1.057e-15  2.420e-15 -1.262e-17  1.074e-15  1.015e-17  3.116e-16  1.063e-14  5.050e-15  4.378e-16  5.000e-07  4.500e-01  4.249e-02 -2.539e-17  9.504e-01  1.000e+00  0.000e+00 
