 v-sweep       voutval       vloadval      ir1           ir2           ivdd          ivdda         ivddh         vd9           vd8           vd7           vd6           vd5           vd4           vd3           vd2           vd1           vd0          
 0.000000e+00  3.156751e-04  3.156751e-04  5.131501e-07  1.018756e-06  2.343533e-10  9.096424e-06  9.058561e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 1.000000e+00  5.139348e-02  5.139348e-02  5.131501e-07  1.018756e-06  2.343531e-10  9.195868e-06  9.048258e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 2.000000e+00  9.731673e-02  9.731673e-02  5.131501e-07  1.018756e-06  2.343535e-10  9.220508e-06  9.037529e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 3.000000e+00  1.385450e-01  1.385450e-01  5.131501e-07  1.018756e-06  2.343544e-10  9.227931e-06  9.028150e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 4.000000e+00  1.764932e-01  1.764932e-01  5.131501e-07  1.018756e-06  2.343540e-10  9.231231e-06  9.018060e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  2.120952e-01  2.120952e-01  5.131501e-07  1.018756e-06  2.343526e-10  9.233146e-06  9.009818e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 6.000000e+00  2.453571e-01  2.453571e-01  5.131501e-07  1.018756e-06  2.343553e-10  9.234464e-06  8.998733e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 7.000000e+00  2.749785e-01  2.749785e-01  5.131501e-07  1.018756e-06  2.343544e-10  9.235474e-06  8.996175e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 8.000000e+00  3.031960e-01  3.031960e-01  5.131501e-07  1.018756e-06  2.343534e-10  9.236422e-06  8.968950e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 9.000000e+00  3.300074e-01  3.300074e-01  5.131501e-07  1.018756e-06  2.343536e-10  9.237419e-06  8.964456e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 1.000000e+01  3.554151e-01  3.554151e-01  5.131501e-07  1.018756e-06  2.343532e-10  9.238570e-06  8.962964e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 1.100000e+01  3.798862e-01  3.798862e-01  5.131501e-07  1.018756e-06  2.343547e-10  9.240012e-06  8.952324e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 1.200000e+01  4.034205e-01  4.034205e-01  5.131501e-07  1.018756e-06  2.343538e-10  9.241883e-06  8.944650e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 1.300000e+01  4.260183e-01  4.260183e-01  5.131501e-07  1.018756e-06  2.343548e-10  9.244352e-06  8.934702e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 1.400000e+01  4.481463e-01  4.481463e-01  5.131501e-07  1.018756e-06  2.343547e-10  9.247687e-06  8.918910e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 1.500000e+01  4.693405e-01  4.693405e-01  5.131501e-07  1.018756e-06  2.343534e-10  9.252071e-06  8.914505e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 1.600000e+01  4.900631e-01  4.900631e-01  5.131501e-07  1.018756e-06  2.350724e-10  9.257896e-06  8.577939e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 1.700000e+01  5.098508e-01  5.098508e-01  5.131501e-07  1.018756e-06  2.350722e-10  9.265342e-06  8.574528e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 1.800000e+01  5.296385e-01  5.296385e-01  5.131501e-07  1.018756e-06  2.350711e-10  9.275163e-06  8.567920e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 1.900000e+01  5.484897e-01  5.484897e-01  5.131501e-07  1.018756e-06  2.350753e-10  9.287287e-06  8.565149e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 2.000000e+01  5.673408e-01  5.673408e-01  5.131501e-07  1.018756e-06  2.350714e-10  9.302699e-06  8.565149e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 2.100000e+01  5.852554e-01  5.852554e-01  5.131501e-07  1.018756e-06  2.350746e-10  9.320950e-06  8.563124e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 2.200000e+01  6.031702e-01  6.031702e-01  5.131501e-07  1.018756e-06  2.350723e-10  9.343204e-06  8.551223e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 2.300000e+01  6.189782e-01  6.189782e-01  5.131501e-07  1.018756e-06  2.350716e-10  9.366510e-06  8.551081e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 2.400000e+01  6.347860e-01  6.347860e-01  5.131501e-07  1.018756e-06  2.350724e-10  9.393460e-06  8.530578e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 2.500000e+01  6.496572e-01  6.496572e-01  5.131501e-07  1.018756e-06  2.350737e-10  9.422206e-06  8.521448e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 2.600000e+01  6.645286e-01  6.645286e-01  5.131501e-07  1.018756e-06  2.350738e-10  9.454179e-06  8.522194e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 2.700000e+01  6.789324e-01  6.789324e-01  5.131501e-07  1.018756e-06  2.350722e-10  9.488013e-06  8.519494e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 2.800000e+01  6.933362e-01  6.933362e-01  5.131501e-07  1.018756e-06  2.350749e-10  9.524303e-06  8.491072e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 2.900000e+01  7.072724e-01  7.072724e-01  5.131501e-07  1.018756e-06  2.350742e-10  9.561264e-06  8.489793e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 3.000000e+01  7.212086e-01  7.212086e-01  5.131501e-07  1.018756e-06  2.350763e-10  9.599445e-06  8.489082e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 3.100000e+01  7.346770e-01  7.346770e-01  5.131501e-07  1.018756e-06  2.350746e-10  9.636840e-06  8.488230e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 3.200000e+01  7.481430e-01  7.481430e-01  5.131501e-07  1.018756e-06  2.350732e-10  9.674020e-06  8.143979e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 3.300000e+01  7.611419e-01  7.611419e-01  5.131501e-07  1.018756e-06  2.350733e-10  9.709040e-06  8.139059e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 3.400000e+01  7.741408e-01  7.741408e-01  5.131501e-07  1.018756e-06  2.350739e-10  9.742587e-06  8.136572e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 3.500000e+01  7.871396e-01  7.871396e-01  5.131501e-07  1.018756e-06  2.350757e-10  9.774107e-06  8.134529e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 3.600000e+01  7.996703e-01  7.996703e-01  5.131501e-07  1.018756e-06  2.350739e-10  9.802157e-06  8.133818e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 3.700000e+01  8.117331e-01  8.117331e-01  5.131501e-07  1.018756e-06  2.350755e-10  9.826714e-06  8.124013e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 3.800000e+01  8.242636e-01  8.242636e-01  5.131501e-07  1.018756e-06  2.350756e-10  9.849501e-06  8.123711e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 3.900000e+01  8.363262e-01  8.363262e-01  5.131501e-07  1.018756e-06  2.350753e-10  9.868767e-06  8.118186e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 4.000000e+01  8.479190e-01  8.479190e-01  5.131501e-07  1.018756e-06  2.350746e-10  9.884846e-06  8.055155e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 4.100000e+01  8.599813e-01  8.599813e-01  5.131501e-07  1.018756e-06  2.350743e-10  9.899155e-06  8.051584e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 4.200000e+01  8.715742e-01  8.715742e-01  5.131501e-07  1.018756e-06  2.350749e-10  9.910743e-06  8.046610e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 4.300000e+01  8.826992e-01  8.826992e-01  5.131501e-07  1.018756e-06  2.350745e-10  9.920048e-06  8.045633e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
