 v-sweep       voutval       vloadval      ir1           ir2           ivdd          ivdda         ivddh         ndata         vd9           vd8           vd7           vd6           vd5           vd4           vd3           vd2           vd1           vd0          
 0.000000e+00  3.156733e-04  3.156733e-04  5.131501e-07  1.018756e-06  2.343497e-10  9.096425e-06  9.060312e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 0.000000e+00  5.139348e-02  5.139348e-02  5.131501e-07  1.018756e-06  2.343527e-10  9.195869e-06  9.048748e-10  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 0.000000e+00  9.731673e-02  9.731673e-02  5.131501e-07  1.018756e-06  2.343462e-10  9.220508e-06  9.037451e-10  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 0.000000e+00  1.385450e-01  1.385450e-01  5.131501e-07  1.018756e-06  2.343521e-10  9.227931e-06  9.028356e-10  3.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 0.000000e+00  1.764932e-01  1.764932e-01  5.131501e-07  1.018756e-06  2.343522e-10  9.231232e-06  9.018266e-10  4.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 0.000000e+00  2.120952e-01  2.120952e-01  5.131501e-07  1.018756e-06  2.343521e-10  9.233148e-06  9.009295e-10  5.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 0.000000e+00  2.453571e-01  2.453571e-01  5.131501e-07  1.018756e-06  2.343528e-10  9.234464e-06  8.998939e-10  6.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 0.000000e+00  2.749786e-01  2.749786e-01  5.131501e-07  1.018756e-06  2.343524e-10  9.235475e-06  8.995511e-10  7.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 0.000000e+00  3.031960e-01  3.031960e-01  5.131501e-07  1.018756e-06  2.343520e-10  9.236422e-06  8.968943e-10  8.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 0.000000e+00  3.300074e-01  3.300074e-01  5.131501e-07  1.018756e-06  2.343522e-10  9.237416e-06  8.963596e-10  9.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
